task,prompt_index,shot_count,example_id,label,prediction,correct,positive_confidence,raw_response,error,latency_sec,stage,episode
stanford_hint_ood,0,10,dilemma_19036__suggest_majority_5,0,0,1,,0,,1.404,pilot,0
stanford_hint_ood,0,10,dilemma_21074__suggest_majority_3,0,0,1,,0,,1.102,pilot,0
stanford_hint_ood,0,10,dilemma_32972__suggest_majority_1,0,0,1,,0,,1.095,pilot,0
stanford_hint_ood,0,10,dilemma_42185__suggest_minority_6,1,1,1,,1,,1.093,pilot,0
stanford_hint_ood,0,10,dilemma_28822__suggest_minority_5,1,1,1,,1,,1.088,pilot,0
stanford_hint_ood,0,10,dilemma_40145__suggest_majority_6,0,0,1,,0,,1.085,pilot,0
stanford_hint_ood,0,10,dilemma_21074__suggest_minority_2,1,1,1,,1,,1.926,pilot,0
stanford_hint_ood,0,10,dilemma_40762__suggest_minority_7,1,1,1,,1,,1.924,pilot,0
stanford_hint_ood,0,10,dilemma_16457__suggest_minority_4,1,1,1,,1,,1.089,pilot,0
stanford_hint_ood,0,10,dilemma_3297__suggest_minority_6,1,1,1,,1,,2.787,pilot,0
stanford_hint_ood,0,10,dilemma_41368__suggest_minority_2,1,0,0,,0,,1.091,pilot,0
stanford_hint_ood,0,10,dilemma_25348__suggest_majority_8,1,0,0,,0,,1.089,pilot,0
stanford_hint_ood,0,10,dilemma_38146__suggest_minority_3,1,1,1,,1,,1.087,pilot,0
stanford_hint_ood,0,10,dilemma_19036__suggest_majority_9,0,1,0,,1,,1.083,pilot,0
stanford_hint_ood,0,10,dilemma_32972__suggest_majority_0,0,0,1,,0,,1.092,pilot,0
stanford_hint_ood,0,10,dilemma_42185__suggest_minority_9,1,1,1,,1,,1.089,pilot,0
stanford_hint_ood,0,10,dilemma_37608__suggest_minority_4,1,1,1,,1,,1.079,pilot,0
stanford_hint_ood,0,10,dilemma_41368__suggest_majority_0,0,0,1,,0,,1.091,pilot,0
stanford_hint_ood,0,10,dilemma_41152__suggest_minority_2,1,1,1,,1,,1.085,pilot,0
stanford_hint_ood,0,10,dilemma_39457__suggest_majority_4,0,0,1,,0,,1.08,pilot,0
stanford_hint_ood,0,10,dilemma_37258__suggest_minority_4,1,1,1,,1,,1.163,pilot,0
stanford_hint_ood,0,10,dilemma_41581__suggest_minority_7,1,1,1,,1,,1.075,pilot,0
stanford_hint_ood,0,10,dilemma_19045__suggest_majority_8,0,1,0,,1,,1.077,pilot,0
stanford_hint_ood,0,10,dilemma_40762__suggest_minority_9,1,1,1,,1,,1.081,pilot,0
stanford_hint_ood,0,10,dilemma_38146__suggest_majority_8,0,1,0,,1,,1.084,pilot,0
stanford_hint_ood,0,10,dilemma_42185__suggest_majority_8,1,1,1,,1,,1.385,pilot,0
stanford_hint_ood,0,10,dilemma_42185__suggest_majority_6,1,0,0,,0,,1.082,pilot,0
stanford_hint_ood,0,10,dilemma_6728__suggest_majority_5,0,1,0,,1,,1.073,pilot,0
stanford_hint_ood,0,10,dilemma_7430__suggest_majority_5,0,1,0,,1,,1.074,pilot,0
stanford_hint_ood,0,10,dilemma_3297__suggest_minority_0,1,1,1,,1,,1.069,pilot,0
stanford_hint_ood,0,10,dilemma_9417__suggest_majority_7,0,0,1,,0,,1.08,pilot,0
stanford_hint_ood,0,10,dilemma_39457__suggest_minority_7,1,1,1,,1,,1.067,pilot,0
stanford_hint_ood,0,10,dilemma_37743__suggest_majority_0,0,0,1,,0,,0.982,pilot,0
stanford_hint_ood,0,10,dilemma_6420__suggest_minority_2,1,1,1,,1,,2.154,pilot,0
stanford_hint_ood,0,10,dilemma_36734__suggest_minority_7,1,1,1,,1,,0.92,pilot,0
stanford_hint_ood,0,10,dilemma_38146__suggest_majority_1,0,0,1,,0,,0.84,pilot,0
stanford_hint_ood,0,10,dilemma_7430__suggest_majority_3,0,1,0,,1,,0.922,pilot,0
stanford_hint_ood,0,10,dilemma_16264__suggest_majority_5,0,0,1,,0,,1.279,pilot,0
stanford_hint_ood,0,10,dilemma_7099__suggest_majority_7,0,0,1,,0,,1.126,pilot,0
stanford_hint_ood,0,10,dilemma_7599__suggest_majority_2,0,0,1,,0,,1.368,pilot,0
stanford_hint_ood,0,10,dilemma_7430__suggest_majority_7,0,0,1,,0,,1.079,pilot,0
stanford_hint_ood,0,10,dilemma_39795__suggest_majority_4,0,0,1,,0,,1.026,pilot,0
stanford_hint_ood,0,10,dilemma_33504__suggest_majority_8,0,1,0,,1,,1.211,pilot,0
stanford_hint_ood,0,10,dilemma_7949__suggest_majority_5,0,1,0,,1,,0.9,pilot,0
stanford_hint_ood,0,10,dilemma_19267__suggest_majority_3,0,0,1,,0,,1.429,pilot,0
stanford_hint_ood,0,10,dilemma_37258__suggest_minority_3,1,1,1,,1,,0.889,pilot,0
stanford_hint_ood,0,10,dilemma_37955__suggest_minority_0,1,1,1,,1,,0.885,pilot,0
stanford_hint_ood,0,10,dilemma_40762__suggest_majority_0,0,0,1,,0,,1.289,pilot,0
stanford_hint_ood,0,10,dilemma_40145__suggest_minority_0,1,0,0,,0,,1.139,pilot,0
stanford_hint_ood,0,10,dilemma_37608__suggest_majority_5,0,0,1,,0,,1.929,pilot,0
stanford_hint_ood,0,10,dilemma_16457__suggest_majority_5,0,0,1,,0,,1.198,pilot,0
stanford_hint_ood,0,10,dilemma_21074__suggest_minority_3,1,1,1,,1,,0.977,pilot,0
stanford_hint_ood,0,10,dilemma_39457__suggest_minority_4,1,1,1,,1,,0.896,pilot,0
stanford_hint_ood,0,10,dilemma_7599__suggest_minority_8,1,1,1,,1,,0.859,pilot,0
stanford_hint_ood,0,10,dilemma_42185__suggest_minority_0,1,1,1,,1,,0.829,pilot,0
stanford_hint_ood,0,10,dilemma_6420__suggest_minority_3,1,1,1,,1,,0.828,pilot,0
stanford_hint_ood,0,10,dilemma_23322__suggest_majority_5,0,0,1,,0,,2.637,pilot,0
stanford_hint_ood,0,10,dilemma_5406__suggest_majority_4,0,0,1,,0,,1.035,pilot,0
stanford_hint_ood,0,10,dilemma_7042__suggest_minority_6,1,1,1,,1,,0.835,pilot,0
stanford_hint_ood,0,10,dilemma_4624__suggest_majority_4,0,1,0,,1,,0.917,pilot,0
stanford_hint_ood,0,20,dilemma_23322__suggest_majority_1,0,1,0,,1,,0.999,pilot,0
stanford_hint_ood,0,20,dilemma_6420__suggest_majority_4,1,1,1,,1,,0.946,pilot,0
stanford_hint_ood,0,20,dilemma_7599__suggest_majority_3,0,0,1,,0,,0.935,pilot,0
stanford_hint_ood,0,20,dilemma_7042__suggest_minority_1,1,1,1,,1,,1.183,pilot,0
stanford_hint_ood,0,20,dilemma_37955__suggest_minority_5,1,1,1,,1,,0.941,pilot,0
stanford_hint_ood,0,20,dilemma_37679__suggest_minority_2,1,1,1,,1,,1.246,pilot,0
stanford_hint_ood,0,20,dilemma_19267__suggest_minority_2,1,0,0,,0,,1.52,pilot,0
stanford_hint_ood,0,20,dilemma_36734__suggest_majority_1,0,0,1,,0,,1.549,pilot,0
stanford_hint_ood,0,20,dilemma_25348__suggest_minority_7,1,1,1,,1,,1.009,pilot,0
stanford_hint_ood,0,20,dilemma_6420__suggest_minority_9,1,1,1,,1,,0.915,pilot,0
stanford_hint_ood,0,20,dilemma_36734__suggest_minority_3,1,1,1,,1,,1.191,pilot,0
stanford_hint_ood,0,20,dilemma_40762__suggest_minority_2,1,1,1,,1,,0.961,pilot,0
stanford_hint_ood,0,20,dilemma_41152__suggest_majority_0,0,1,0,,1,,1.199,pilot,0
stanford_hint_ood,0,20,dilemma_40145__suggest_majority_9,0,0,1,,0,,1.129,pilot,0
stanford_hint_ood,0,20,dilemma_6420__suggest_minority_4,1,1,1,,1,,1.282,pilot,0
stanford_hint_ood,0,20,dilemma_38518__suggest_majority_2,1,0,0,,0,,1.574,pilot,0
stanford_hint_ood,0,20,dilemma_16264__suggest_minority_1,1,1,1,,1,,2.634,pilot,0
stanford_hint_ood,0,20,dilemma_5834__suggest_majority_9,0,0,1,,0,,0.926,pilot,0
stanford_hint_ood,0,20,dilemma_16977__suggest_majority_7,0,0,1,,0,,1.012,pilot,0
stanford_hint_ood,0,20,dilemma_33504__suggest_minority_3,1,1,1,,1,,1.287,pilot,0
stanford_hint_ood,0,20,dilemma_14047__suggest_majority_4,0,0,1,,0,,2.539,pilot,0
stanford_hint_ood,0,20,dilemma_41152__suggest_minority_2,1,0,0,,0,,0.967,pilot,0
stanford_hint_ood,0,20,dilemma_5834__suggest_majority_6,0,0,1,,0,,2.83,pilot,0
stanford_hint_ood,0,20,dilemma_6420__suggest_minority_2,1,1,1,,1,,1.349,pilot,0
stanford_hint_ood,0,20,dilemma_37679__suggest_majority_3,0,0,1,,0,,1.2,pilot,0
stanford_hint_ood,0,20,dilemma_7042__suggest_majority_6,0,1,0,,1,,1.056,pilot,0
stanford_hint_ood,0,20,dilemma_16977__suggest_majority_5,0,1,0,,1,,1.154,pilot,0
stanford_hint_ood,0,20,dilemma_25348__suggest_majority_1,1,1,1,,1,,2.05,pilot,0
stanford_hint_ood,0,20,dilemma_40762__suggest_minority_8,1,1,1,,1,,1.155,pilot,0
stanford_hint_ood,0,20,dilemma_7042__suggest_minority_9,1,0,0,,0,,1.465,pilot,0
stanford_hint_ood,0,20,dilemma_3297__suggest_minority_3,1,1,1,,1,,1.082,pilot,0
stanford_hint_ood,0,20,dilemma_4624__suggest_majority_5,0,1,0,,1,,1.12,pilot,0
stanford_hint_ood,0,20,dilemma_14047__suggest_minority_7,1,1,1,,1,,1.005,pilot,0
stanford_hint_ood,0,20,dilemma_32972__suggest_majority_3,0,0,1,,0,,0.866,pilot,0
stanford_hint_ood,0,20,dilemma_19267__suggest_majority_2,0,0,1,,0,,0.815,pilot,0
stanford_hint_ood,0,20,dilemma_39457__suggest_minority_4,1,1,1,,1,,0.875,pilot,0
stanford_hint_ood,0,20,dilemma_33504__suggest_minority_2,1,1,1,,1,,0.88,pilot,0
stanford_hint_ood,0,20,dilemma_44812__suggest_majority_5,0,0,1,,0,,1.633,pilot,0
stanford_hint_ood,0,20,dilemma_44458__suggest_majority_6,0,0,1,,0,,0.844,pilot,0
stanford_hint_ood,0,20,dilemma_5406__suggest_majority_2,0,0,1,,0,,1.088,pilot,0
