label,shot_setting,gmean2,summary_path
Reasoning termination,10-shot,0.263,/home/riya/Riya/research/cot-interp-agent/agent-runs/reasoning_termination_ood/run-20260423-175349/summary.txt
Reasoning termination,40-shot,0.278,/home/riya/Riya/research/cot-interp-agent/agent-runs/reasoning_termination_ood/run-20260424-182810-528027/summary.txt
Self deletion,10-shot,0.456,/home/riya/Riya/research/cot-interp-agent/agent-runs/gemma_self_deletion_ood/run-20260423-175349/summary.txt
Self deletion,40-shot,0.577,/home/riya/Riya/research/cot-interp-agent/agent-runs/gemma_self_deletion_ood/run-20260424-182810-524393/summary.txt
Follow-up response,10-shot,0.229,/home/riya/Riya/research/cot-interp-agent/agent-runs/followup_confidence_ood/run-20260423-175931/summary.txt
Follow-up response,40-shot,0.298,/home/riya/Riya/research/cot-interp-agent/agent-runs/followup_confidence_ood/run-20260424-182810-754498/summary.txt
Stanford hint,10-shot,0.414,/home/riya/Riya/research/cot-interp-agent/agent-runs/stanford_hint_ood/run-20260423-180101/summary.txt
Stanford hint,40-shot,0.725,/home/riya/Riya/research/cot-interp-agent/agent-runs/stanford_hint_ood/run-20260424-182810-754576/summary.txt
Atypical answer,10-shot,0.282,/home/riya/Riya/research/cot-interp-agent/agent-runs/atypical_answer_ood/run-20260423-180546/summary.txt
Atypical answer,40-shot,0.288,/home/riya/Riya/research/cot-interp-agent/agent-runs/atypical_answer_ood/run-20260424-182810-783801/summary.txt
Atypical CoT length,10-shot,0.211,/home/riya/Riya/research/cot-interp-agent/agent-runs/atypical_cot_length_ood/run-20260423-180933/summary.txt
Atypical CoT length,40-shot,0.202,/home/riya/Riya/research/cot-interp-agent/agent-runs/atypical_cot_length_ood/run-20260424-182810-785546/summary.txt
